Police Department,Requires De-Escalation,"(Policy Language) Requires De-Escalation: Does the policy require officers to de-escalate situations, when possible?",Bans Chokeholds and Strangleholds,"(Policy Language) Bans Chokeholds and Strangleholds: Are chokeholds and strangleholds (including carotid restraints) explicitly prohibited, except in situations where deadly force is authorized?",Duty to Intervene,(Policy Language) Duty to Intervene: Are officers required to intervene when witnessing another officer using excessive force?,Requires Warning Before Shooting,"(Policy Language) Requires Warning Before Shooting: Are officers required to give a verbal warning, when possible, before shooting someone?",Restricts Shooting at Moving Vehicles,(Policy Language) Restricts Shooting at Moving Vehicles: Are officers prohibited from shooting at people in moving vehicles unless the subject presents a separate deadly threat other than the vehicle itself?,Requires Comprehensive Reporting,"(Policy Language) Requires Comprehensive Reporting: Are all uses of force required to be reported, including the pointing of a firearm at a civilian?",Requires Exhaust All Other Means Before Shooting,(Policy Language) Requires Exhaust All Other Means Before Shooting: Are officers required to exhaust all other reasonable alternatives before resorting to deadly force?,Has Use of Force Continuum,"(Policy Language) Has Use of Force Continuum: Is a Force Continuum or Matrix included in the Policy, defining the types of force/weapons that can be used to respond to specific types of resistance?",Year of most recent policy,Total Population,Updated Since 2016,Year of most recent policy,Requires De-Escalation New,Use of Force Continuum New,Ban Chokeholds and Strangleholds New,Require Warning Before Shooting New,Ban Shooting at Moving Vehicles New,Exhaust All Alternatives New,Duty to Intervene New,Comprehensive Reporting New
Dallas,1,"Yes. Policy states ""Where there is no apparent need to take a suspect into immediate physical custody, officers should utilize tactics
designed to de-escalate the situation and facilitate a safer resolution whenever reasonably possible. The use of
delaying tactics in order to obtain more favorable physical cover and additional officer presence is encouraged, as
long as the safety of the officer, citizens, and subject is not compromised in doing so.""",1,"Yes. New policy states ""Effective August 4, 2004, the lateral vascular neck restraint, or any other force that is intended to restrict a personÃ•s airway or blood flow to the brain, is no longer a part of the DepartmentÃ•s use of force continuum and is not authorized. An exception to the use of the LVNR or any other means of defense is a deadly force situation.""",1,Yes. New policy currently requires officers to intervene when witnessing a fellow officer,1,"Yes. Policy states ""Verbal Warning Ã Before using deadly force, if feasible, officers shall identify themselves as peace officers and audibly command the subject to submit to their authority or deadly force may be used.""",1,"Yes. New policy states ""Discharging firearms at a moving or fleeing vehicle is prohibited unless: it is necessary to prevent imminent death or serious bodily injury to the officer or another person.

a.     Deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle); or,

b.     The vehicle is being used as a weapon to inflict mass causalities (e.g. a truck driving through a crowd).

2.     Officers will not voluntarily place themselves in a position in front of an oncoming vehicle where deadly force is a probable outcome.

3.     When confronting an oncoming vehicle, officers will move out of its path, if possible, rather than fire at the vehicle.""",1,"Yes. Policy states ""Any Response to Resistance that is Soft Empty Hand Control or above on the Response Continuum, with the exception of
Compliant Handcuffing"" only. This will include, but not be limited to the following:
1. All takedowns, pressure points, joint locks
2. Any use of Oleoresin Capsicum Chemical Spray.
3. Any deployment of the Pepperball System.
4. Personal weapons such as hands and feet.
5. Any use of the baton or any other type of instrument that is used as an impact weapon.
6. Any use of an Electronic Control Weapon (Taser). This includes accidental discharges of the Taser.
7. The deployment of a firearm which is pointed directly at any individual. This will NOT include when any firearm
is deployed as part of a warrant process or felony stop.""",1,"Yes. ""Deadly force will be used with great restraint and as a last resort only when the level of resistance warrants the use of deadly force.""
""At the point when an officer should reasonably perceive the potential exists that deadly force may be an outcome of any situation, the officer must use reasonable alternatives if time and opportunities permit. The reasonableness of the action is based upon the time available, the opportunity of performing the action, and the facts apparent to the officer prior to and during the incident.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,1197816,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (post-launch),yes (post-launch),yes (pre-launch),yes (post-launch),yes (pre-launch)
Denver,1,"Yes. Policy states ""Officers may either escalate or de-escalate the use of force as the situation progresses or circumstances change. Officers should recognize that their conduct immediately connected to the use of force may be a factor which can influence the level of force necessary in a given situation. When reasonable under the totality of circumstances, officers should use advisements, warnings, verbal persuasion, and other tactics and recognize that an officer may withdraw to a position that is tactically more secure or allows an officer greater distance in order to consider or deploy a greater variety of force options. When a suspect is under control, either through the application of physical restraint or the suspect's compliance, the degree of force should be de-escalated accordingly.""",1,"Yes. Policy states""Unless engaged in a lethal force encounter, officers will not:
- Apply direct pressure to an individual's trachea or airway with the intention to reduce the intake of air (e.g., apply a chokehold)
- Apply direct pressure to an individual's neck with the intention to restrict or slow the blood flow within the carotid arteries (carotid compression technique)""",1,"Yes. Policy states ""When reasonably possible, considering the totality of circumstances, officers will act to intervene whenever they witness inappropriate force and/or mistreatment of arrestees, suspects, or other persons. Such Action will include, but is not limited to, verbally intervening to stop the violation.""",1,"Yes. Policy states ""105.05.3: When feasible, it is necessary, to give some warning before engaging in the use of deadly force. If possible, identify yourself as a police officer, give the command you want followed, and state your intention to shoot.""",1,"Yes. Policy states ""Firearms shall not be discharged at a moving or fleeing vehicle unless deadly force is being used against the police officer or another person present by means other than the moving vehicle.""",1,"Yes. New policy states ""Incidents where an officer intentionally points any firearm at a person and no other force-related incident occurs are reported on a Firearm No Discharge (DPD 12f).""",1,"Yes. ""With these values in mind, an officer shall use only that degree of force necessary and reasonable under the circumstances. An officer may use deadly force in the circumstances permitted by this policy when all reasonable alternatives appear impracticable and the officer reasonably believes that the use of deadly force is necessary. Officers should ensure that they do not engage in unreasonable actions that precipitate the use of force as a result of tactical, strategic, and procedural errors that place themselves or others in jeopardy. The reasonableness of a particular use of force must be judged from the perspective of a reasonable officer on the scene, rather than with the 20/20 vision of hindsight. The calculus of reasonableness must embody allowance for the fact that police officers are often forced to make split-second judgments, in circumstances that are tense, uncertain, and rapidly evolving, about the amount of force that is necessary in a particular situation. The reasonableness inquiry in an excessive force case is an objective one; the question is whether the officersÃ„Æ’Ãƒï¿½ actions are objectively reasonable in light of the facts and circumstances confronting them, without regard to their underlying intent or motivation."" p. 105-1
""STATE STATUTES
a. C.R.S. _18-1-707 states in the pertinent part: Use of physical force in making an arrest or in preventing an escape:
1. ""(1) Except as provided in subsection (2) of this section, a peace officer is justified in using reasonable and appropriate physical force upon another person when and to the extent that he reasonably believes it necessary:
a. To effect an arrest or to prevent the escape from custody of an arrested person unless he knows that the arrest is unauthorized; or
b. To defend himself or a third person from what he reasonably believes to be the use or imminent use of physical force while effecting or attempting to affect such an arrest or while preventing or attempting to prevent such an escape.
2. A peace officer is justified in using deadly physical force upon another person for a purpose specified in subsection (1) of this section only when he reasonably believes that it is necessary:
a. To defend himself or a third person from what he reasonably believes to be the use or imminent use of deadly physical force; or
b. To affect an arrest or prevent the escape from custody, of a person whom he reasonably believes:
1. Has committed or attempted to commit a felony involving the use or threatened use of a deadly weapon; or
2. Is attempting to escape by the use of a deadly weapon; or
3. Otherwise indicates, except through a motor vehicle violation, that he is likely to endanger human life or to inflict serious bodily injury to another unless apprehended without delay. (The Denver Police Department policy on use of deadly force in this situation is more restrictive than state law _ see OMS 105.05(5).
...
4. For the purposes of this section a reasonable belief that a person has committed an offense means a reasonable belief in facts or circumstances which if true would in law constitute an offense. If the believed facts and circumstances would not in law constitute an offense, an erroneous though not unreasonable belief that the law is otherwise does not render justifiable the use of force to make an arrest or to prevent an escape from custody. A peace officer who is affecting an arrest pursuant to a warrant is justified in using the physical force prescribed in subsection (1) and (2) of this section unless the warrant is invalid and is known by the officer to be invalid.""
b. The community expects and the Denver Police Department requires that peace officers use only the force necessary to perform their duties. The level of force applied must reflect the totality of circumstances surrounding the immediate situation. The officer need only select a level of force that is necessary and within the range of _objectively reasonable options. Officers must rely on training, experience and assessment of the situation to decide an appropriate level of force to be applied. Reasonable and sound judgment will dictate the force option to be employed."" p. 105-2 & 105-3",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,600158,1,2020,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (post-launch),yes (post-launch)
Detroit,0,This city is currently reviewing/considering adopting a required de-escalation policy.,1,"Yes. ""The following neck restraints are prohibited except where deadly force is authorized:
1. Carotid submission hold;
2. A hold which interrupts the bloodÃ„Æ’Ãƒï¿½s flow to the brain;
3. A _sleeper hold that can result in a person losing consciousness and/or death;
4. Bent arm submission hold/Hammer lock carotid hold. This hold restricts airflow to
the trachea and can result in a loss of consciousness and/or death; and
5. All other chokeholds. """,0,This city is currently reviewing the adoption of a Duty to Intervene policy.,1,"Yes. Policy states ""If feasible, officers shall identify themselves and state their intention to shoot before using a firearm.""",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""Firearms shall not be discharged at a moving vehicle unless a person in the vehicle is immediately threatening the officer or another person with deadly force or serious bodily injury.
Officers shall not knowingly place themselves into the path of a moving vehicle or
into the likely path of a vehicle that is currently stopped but is under the immediate
control of a driver. When feasible, officers should attempt to move out of the path
of any moving vehicle to a position of cover. Officers shall not discharge their
weapon except in instances where the officerÃ„Æ’Ãƒï¿½s life or life of others is in immediate
peril and there is no reasonable or apparent means of avoiding the threat. """,0,"This city is currently reviewing/considering adopting comprehensive reporting, which includes required reporting for when an officer aims a firearm at someone.",1,"Yes. ""Deadly force is not authorized if less lethal force could reasonably be used to prevent the escape of a dangerous fleeing subject, or a subject fleeing from a violent felony crime.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2014,713777,0,2014,under review,yes (pre-launch),yes (pre-launch),yes (pre-launch),no,yes (pre-launch),under review,under review
Durham,1,"Yes. Policy states ""The use of force should be used only with the greatest restraint and only after discussion, negotiation and persuasion have been found to be inappropriate or ineffective.""",0,On 6/09/20 Governor Roy Cooper issued an Executive Order requiring all North Carolina law enforcement agencies review their Use of Force policies.,1,"Yes. New policy states ""Officers have a duty to intervene to prevent or stop excessive force if witnessed. Further, any officer who witnesses excessive force shall promptly report said conduct to their chain of command.Officers who report excessive force actions are protected against retaliation in accordance with HRM-708-2 Anti-Harassment Policy""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,"No. Does not limit shooting at moving vehicles to situations where deadly force is being used against others by means other than the vehicle. 
""Firing at moving vehicles is prohibited except in those situations where the immediate probability of serious injury or death exists for the officer(s) and/or an innocent third party. Officers must reasonably believe that the only means of protecting themselves or a third party in this situation is the use of deadly force.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,228330,1,2020,yes (pre-launch),yes (pre-launch),under review,no,no,no,yes (post-launch),no
El Paso,0,No. Officers not required to de-escalate when possible.,0,No. Policy does not ban chokeholds or strangle/carotid holds.,0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""When feasible, an officer should give a verbal warning before using any force including deadly force.""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it and does not state that a threat other than the vehicle itself must be present. Policy states officers may not shoot ""at the driver of a moving vehicle or at the vehicle itself unless the officer or another is in immediate danger of being struck by the vehicle and, in the case of an officer, the officer reasonably believes that no other means of escape or evasive action is available.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""Officers will select the least violent means relative to the situation.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,1999,650604,0,1999,no,yes (pre-launch),no,yes (pre-launch),no,yes (pre-launch),no,no
Fort Wayne,0,This city is currently reviewing/considering adopting a required de-escalation policy.,0,"This city is currently reviewing/considering banning police from using chokeholds, hogtying and other methods of restraint that would place weight on an individualÃ•s head, face, neck, chest or back. Introduced by Councilman Kenyatta Johnson.",0,This city is currently reviewing the adoption of a Duty to Intervene policy.,1,"Yes. Policy states ""Before using a firearm, police officers shall identify themselves and state their intent to shoot, when tactically feasible.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",1,"Yes. Policy states ""Every time force is used to subdue or control a subject through the use of a baton, physical force, pointing a weapon, or employment of a Chemical Agent, this Template is to be completed in full.""",0,This city is currently reviewing/considering adopting a policy that requires officer exhaust all means before resorting to deadly force.,1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2018,253691,0,2018,under review,yes (pre-launch),under review,yes (pre-launch),under review,under review,under review,yes (pre-launch)
Fort Worth,1,"Yes. Policy states ""When safely possible, an officer shall use de-escalation techniques consistent with
department training whenever possible and appropriate before resorting to force and to
reduce the need for force.""",1,"Yes. Policy states ""Officers are prohibited from using choke holds and other types of neck-restraining techniques except when protecting themselves or others against an imminent threat of serious bodily and death.""",1,"Yes. Policy states ""Officers have the duty to intervene when observing another officer using force that is
beyond that which is objectively reasonable under the circumstances.""",1,"Yes. Policy states ""If not already known by the subject to be detained, arrested, or searched, officers should, if
reasonable, make clear their intent to detain, arrest or search the subject. When practicable,
officers will identify themselves as a peace officer before using force""",1,"Yes. Policy states ""4. Officers shall not fire a weapon into a moving vehicle or at its occupant(s) unless the
occupant(s) are using deadly force against the officer or another person present, by means
other than the vehicle.
5. Officers shall not place themselves in the path of a moving vehicle in a manner which
may lead to the use of deadly force. If a confrontation with a moving vehicle does occur,
officers shall move out of the path of the vehicle.""",0,"This city is currently reviewing/considering adopting comprehensive reporting, which includes required reporting for when an officer aims a firearm at someone.",0,This city is currently reviewing/considering adopting a policy that requires officer exhaust all means before resorting to deadly force.,1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2017,741206,0,2017,yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),yes (pre-launch),under review,yes (pre-launch),under review
Fremont,0,No. Policy does not require officers to use de-escalation whenever possible.,1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""Any officer present and observing another officer using force that is clearly beyond that which
is objectively reasonable under the circumstances shall, when in a position to do so, intercede
to prevent the use of unreasonable force. An officer who observes another employee use force
that exceeds the degree of force permitted by law shall promptly report these observations to a
supervisor.""",1,"Yes. Policy states ""a verbal warning should precede the use of deadly force, when possible.""",0,"No. Allows officers to shoot at moving vehicles even when only the vehicle itself is considered a threat. 
""300.6.1 SHOOTING AT OR FROM MOVING VEHICLES
Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of
an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants.
An officer should only discharge a firearm at a moving vehicle or its occupants when the officer
reasonably believes there are no other reasonable means available to avert the threat of the
vehicle, or if deadly force other than the vehicle is directed at the officer or others.
Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2014,214089,1,2020,no,no,yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
Fresno,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. ""The Fresno Police Department is directed to immediately (06/09/2020) discontinue use of carotid restraint unless such use is for the preservation of life or to prevent serious bodily injury. The Department shall not use choke holds or strangle holds for any reason.",1,"Yes. Policy states "" DUTY TO INTERCEDE:
Any officer present and observing another officer using force that is clearly beyond that which
is objectively reasonable under the circumstances shall, when in a position to do so, intercede
to prevent the use of unreasonable force""",1,"Yes. Policy states ""Officers shall, when practical, identify themselves and state their intention to shoot before using a firearm.""",1,"Yes. New policy states ""Shooting at or from moving vehicles is rarely effective and can be hazardous to both innocent persons and officers. Firearms shall not be discharged at a moving vehicle or its occupants unless a person in the vehicle is immediately threatening the officer or another person with deadly force by means other than the vehicle itself. Members shall employ all reasonable means available to move to an area of safety if a vehicle becomes a threat, including retreating from the threat if necessary.Department members shall avoid maneuvering into the path of an occupied vehicle and shall move out of the path of a moving vehicle rather than attempt to fire at the vehicle or its occupants.""",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2016,494665,1,2020,no,no,yes (post-launch),yes (pre-launch),yes (post-launch),no,yes (pre-launch),no
Garland,0,No. Policy does not require officers to use de-escalation whenever possible.,1,"Yes. Policy states ""The Lateral Vascular Neck Restraint (LVNR) shall not be used as an apprehension technique except as described below. LVNR shall only be used by members of this department to defend the officer or another person to the extent the member reasonably believes that is immediately necessary to: prevent Serious Bodily injury or Death of the employee or another person, or prevent the escape of a fleeing violent felon who the officer has probable cause to believe will pose a significant threat of death or serious bodily injury to the officers or others.""",0,This city is currently reviewing the adoption of a Duty to Intervene policy.,1,"Yes. Policy states ""When feasible, a police officer should give some warning regarding the possible use of deadly force prior to the use of deadly force.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2017,226876,0,2017,no,no,yes (pre-launch),yes (pre-launch),under review,no,under review,no
Glendale,0,No. Policy does not require officers to use de-escalation whenever possible.,0,No.,0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,0,No.,0,No. Policy does not contain specific restrictions on shooting at moving vehicles.,0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""It is the philosophy of the department to use deadly physical force only to overcome an attack, which could produce serious physical injury or death to the employee or to another person, where no other means are reasonably available to overcome the attacker.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2012,226721,1,2020,no,yes (pre-launch),no,no,no,yes (pre-launch),no,no
Greensboro,1,"Yes. Policy states ""The use of force should be used only with the greatest restraint and only after discussion, negotiation and persuasion have been found to be inappropriate or ineffective.""",0,On 6/09/20 Governor Roy Cooper issued an Executive Order requiring all North Carolina law enforcement agencies review their Use of Force policies.,1,Yes. New policy requires officers to intervene or report if they witness another officer using excessive force.,0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,No. Policy does not outline a comprehensive ban on shooting at moving vehicles.,0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",0,No use of force continuum or matrix found in Police Department Use of Force Policy,2015,269666,1,2020,yes (pre-launch),no,under review,no,no,no,yes (post-launch),no
Henderson,1,"Yes. Policy states ""When reasonable, based on the totality of circumstances, officers shall use advisements, warnings, verbal persuasion, and other tactics and recognize that an officer may withdraw to a position that is tactically more secure or allows an officer greater distance in order to consider or deploy a greater variety of force options. In the spirit of using verbal commands as a reasonable force option in an attempt to de-escalate or defuse a situation, occasional aggressive language could be deemed reasonable if needed and that language is used in context to control a situation.""",1,"Yes. Statewide law prohibits the use of neck restraints that restrict airflow or blood flow to the head, except in cases where deadly force is warranted.",1,"Yes. Policy states ""Any officer that is a witness to another officer using force that may be excessive, unnecessary or is clearly beyond the force that is objectively reasonable under the circumstances shall, when safe and in the position to do so, intervene to prevent the use of that force. A sworn police officer who witnesses such force, that he/she knows by training and experience to be excessive or unnecessary, by another officer should promptly report these observations to a supervisor.""",1,Yes. New policy adopted in 2020 requiring warning before shooting.,0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it. Policy states ""An Officer should only discharge a firearm at a moving vehicle or its occupants when the officer reasonably believes that he/she, another officer or any other person is in imminent danger due to the facts and circumstances known to the officer, and there are no other reasonable means available to stop the deadly threat of the driver/vehicle or if the occupants of that vehicle pose a deadly threat to officers or others.""",0,No. Officers are not required to report when they point a firearm at a civilian.,1,"Yes. Policy states ""In consideration of employing deadly force utilizing the calculus for Objective Reasonableness, members may use deadly force to apprehend a fleeing felon ONLY when every other reasonable means of effecting the arrest or preventing the escape has been exhausted AND,
-The suspect fleeing poses an immediate threat of death or serious bodily harm to the member or others; OR
-There is probable cause to believe the crime committed or attempted was a violent felony, which involved an actual or threatened attack which could result in death or serious bodily harm; AND
-There is probable cause to believe the person fleeing committed or attempted to commit the crime, AND
-Failure to immediately apprehend the person places a member or the public in immediate danger of death or serious bodily injury; AND
_ The lives of innocent persons will not be endangered if deadly force is used.
Additionally, in the Detention Center, use of non-deadly force is justifiable to protect property, control offenders and to do involuntary Blood Draws by a nurse for DUI's when required by state law.""",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,257729,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (post-launch),no,yes (pre-launch),yes (pre-launch),no
Hialeah,0,No. Policy does not require officers to use de-escalation whenever possible.,0,No. Strangle/carotid holds are banned but chokeholds are not.,1,"Yes. Policy states ""Hialeah Police Officers have an affirmative duty to refrain from using excessive force as well as to prevent others from using excessive force.""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,No. Policy does not contain restrictions on shooting at moving vehicles.,0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2010,225498,0,2010,no,yes (pre-launch),no,no,no,no,yes (pre-launch),no
Honolulu,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,Yes. Honolulu policy prohibits chokeholds and Police Chief Susan Ballard banned the use of carotid holds in June 2020.,0,No. Use of Force policy does not require officers to intervene or report if they witness another officer using excessive force.,1,"Yes. Policy states ""Officers shall, when practicable, give voice directions to elicit voluntary compliance before, during, and after any use of force.""",0,"No. Policy does not specify that an officer may not shoot at a moving vehicle for the sole purpose of disabling it, does not state that a threat other than the vehicle itself must be present and that officers must make every attempt to move out of the path of the vehicle. Policy states ""A firearm shall not be discharged at a moving vehicle unless the operator and/or occupant(s)of the vehicle pose an immediate threat of deathor serious bodily injury and/or are attempting to use deadly force against the officer or other(s).""",1,"Yes. Policy states ""The following are examples of when a use of force
report shall be submitted with the investigative
report. This list is not intended to be
all-inclusive.
1. Discharge of a firearm (e.g., handgun, rifle,
shotgun, etc.).
2. Display of a firearm toward a person or to
coerce a person into submission with a firearm
being exhibited.
3. Discharge of a 40mm/37mm/12-gauge shotgun with
less-lethal munitions.
4. Display of a 40mm/37mm/12-gauge shotgun with
less-lethal munitions toward a person or to
coerce a person into submission with a weapon
being exhibited.
5. Use or attempted use of the vascular neck
restraint.
6. Use or display of a baton ""at ready.""
7. Discharge of a chemical agent in the direction
of a person.
8. When there is an injury or complaint of injury
resulting from guiding, holding, directing, or
handcuffing an individual.
9. Any deployment of the electric gun.
10. Discharge of a Pepperball launcher.
11. Display of a Pepperball launcher toward a person
or to coerce a person into submission with a
weapon being exhibited.Ã“",0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,337256,1,2020,yes (pre-launch),yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,no,yes (pre-launch)
Houston,1,"Yes. Use of Force policy requires officers to attempt to de-escalate a situation, when feasible.",1,"Yes. New policy states ""Police officers shall not use neck restraints or carotid artery holds, also known as choke holds, whether by using an object or a body part, unless the officer has an objectively reasonable belief that it is necessary to prevent imminent serious bodily injury or death to the officer or others. Officers shall not place their knee, foot, or body weight on the neck of a suspect to control or contain the suspectÃ•s movements.""",1,"Yes. Policy states ""Any employee present and observing another employee using force that is beyond that which is reasonable under the circumstances shall, when in a position to do so, safely intercede to prevent the use of such force. Employees shall immediately report these observations to an on-duty supervisor.""",0,"No. Policy does not require officers to issue a verbal warning before using deadly force and/or shooting, when feasible.",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",1,"Yes. Policy states officers are required to report when ""any one of the following occurs: a firearm 1) it is pointed at a person; 2) intentionally discharged, except when the discharge is directed toward an animal and it does not result in bodily injury to any person; 3) accidentally discharged and it results in bodily injury to any person.""",1,"Yes. New policy states officers must ""exhaust all other reasonably available alternatives, such as, without limitation, issuing a verbal warning when possible prior to the use of deadly force.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2015,2099451,1,2020,yes (post-launch),yes (pre-launch),yes (post-launch),no,under review,yes (post-launch),yes (pre-launch),yes (pre-launch)
Indianapolis,1,"Yes. The new policy explicitlyÃŠoutlines the use of de-escalation tactics such as communication, time, and distance and requires that officers attempt to de-escalate situations with the goal of resolving encounters without the use of force whenever feasible.",1,"Yes. Policy states ""Police officers are prohibited from utilizing the Lateral Vascular Neck Restraint (LVNR), choke hold,
and/or any other similar neck restraint that restricts breathing or circulation.""",1,"Yes. Policy states ""Officers have a duty to intervene to prevent or stop the use of excessive force by another officer, when
it is safe and reasonable to do so.""",1,"Yes. Policy states ""B) However an officer is justified in using deadly force only if the officer: (1) Has probable cause to believe that that deadly force is necessary: (A) To prevent the commission of a forcible felony; or (B) To effect an arrest of a person who the officer has probable cause to believe poses a threat of serious bodily injury to the officer or a third person; and (2) Has given a warning, if feasible, to the person against whom the deadly force is to be used.""",0,"This city is currently reviewing/considering a comprehensive policy that would ban shooting at moving vehicles including 1. a ban on shooting for the sole purpose of disabling the vehicle 2. only allowing shooting if deadly force is being used against an officer, or another person, by means other than the vehicle (e.g. an occupant is shooting from the vehicle) and 3. requiring officers to move out of the path of moving vehicle.",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2012,820445,1,2020,yes (post-launch),no,yes (post-launch),yes (pre-launch),under review,no,yes (post-launch),yes (post-launch)
Irvine,0,No. Policy does not require officers to use de-escalation whenever possible.,1,The state of California signed legislation to ban all forms of neck restraints in September 2020.,1,"Yes. Policy states ""Duty to Intercede: Any officer present and observing another officer using force that is clearly
beyond that which is objectively reasonable under the circumstances shall, when in a position to do
so, intercede to prevent the use of such excessive force. Such officers should also report these observations to a supervisor without delay.""",1,"Yes.Policy states ""A verbal warning should be given where it is practical under the circumstances.""",0,"No. Use of policy language is passive, and therefore does not establish clear requirements (e.g. ""officers should.."" rather than ""officers shall/must..""). The policy states ""Shots fired at or from a moving vehicle are rarely effective. Officers should move out of the path of an approaching vehicle instead of discharging their firearm at the vehicle or any of its occupants. An officer should only discharge a firearm at a moving vehicle or its occupants when the officer reasonably believes there are no other reasonable means available to avert the threat of the vehicle, or if deadly force other than the vehicle is directed at the officer or others. Officers should not shoot at any part of a vehicle in an attempt to disable the vehicle.""
",0,No. Officers are not required to report when they point a firearm at a civilian.,0,"No. Policy does not explicitly state that officers are required to exhaust other reasonable means before resorting to deadly force, when feasible.",1,Yes. Use of Force policy contains a Use of Force Continuum and/or matrix.,2012,212375,1,2020,no,yes (pre-launch),yes (post-launch),yes (pre-launch),no,no,yes (pre-launch),no
